rank,title,authors,categories,description,published_year,average_rating,ratings_count,edition_count,isbn_10,isbn_13,source,source_id,canonical_url,thumbnail,popularity_score
66,Kidnapped,Robert Louis Stevenson,thriller,,1886,,,352,,,openlibrary,OL24166W,https://openlibrary.org/works/OL24166W,https://covers.openlibrary.org/b/id/8267822-M.jpg,35.2
67,Mr. Standfast,John Buchan,thriller,,1919,,,325,,,openlibrary,OL76598W,https://openlibrary.org/works/OL76598W,https://covers.openlibrary.org/b/id/6962564-M.jpg,32.5
68,A strange disappearance,"Anna Katharine Green, Anna Katharine Green, Cyanide Publishing, Anna Katherine Green, Anna Green",thriller,,1879,,,306,,,openlibrary,OL4885721W,https://openlibrary.org/works/OL4885721W,https://covers.openlibrary.org/b/id/12657405-M.jpg,30.6
69,The Evil Shepherd,Edward Phillips Oppenheim,thriller,,1922,,,289,,,openlibrary,OL2681032W,https://openlibrary.org/works/OL2681032W,https://covers.openlibrary.org/b/id/12648419-M.jpg,28.900000000000002
70,The Age of Innocence,Edith Wharton,romance,,1920,,,285,,,openlibrary,OL98491W,https://openlibrary.org/works/OL98491W,https://covers.openlibrary.org/b/id/11196262-M.jpg,28.5
71,Framley Parsonage,Anthony Trollope,romance,,1861,,,276,,,openlibrary,OL109880W,https://openlibrary.org/works/OL109880W,https://covers.openlibrary.org/b/id/8288051-M.jpg,27.6
72,Daisy Miller,Henry James,romance,,1877,,,244,,,openlibrary,OL276328W,https://openlibrary.org/works/OL276328W,https://covers.openlibrary.org/b/id/6482238-M.jpg,24.400000000000002
73,The Ambassadors,Henry James,romance,,1903,,,231,,,openlibrary,OL276470W,https://openlibrary.org/works/OL276470W,https://covers.openlibrary.org/b/id/313610-M.jpg,23.1
74,Far From the Madding Crowd,Thomas Hardy,romance,,1874,,,229,,,openlibrary,OL44995W,https://openlibrary.org/works/OL44995W,https://covers.openlibrary.org/b/id/902038-M.jpg,22.900000000000002
75,Otto of the Silver Hand,"Howard Pyle, Howard Pyle",thriller,,1888,,,226,,,openlibrary,OL2021957W,https://openlibrary.org/works/OL2021957W,https://covers.openlibrary.org/b/id/7263483-M.jpg,22.6
76,Washington Square,Henry James,romance,,1880,,,219,,,openlibrary,OL276395W,https://openlibrary.org/works/OL276395W,https://covers.openlibrary.org/b/id/8243278-M.jpg,21.900000000000002
77,The Return of the Native,Thomas Hardy,romance,,1878,,,205,,,openlibrary,OL44994W,https://openlibrary.org/works/OL44994W,https://covers.openlibrary.org/b/id/8162989-M.jpg,20.5
78,Poirot investigates,Agatha Christie,romance,,1924,,,205,,,openlibrary,OL471940W,https://openlibrary.org/works/OL471940W,https://covers.openlibrary.org/b/id/13670505-M.jpg,20.5
79,Voyage au Centre de la Terre,Jules Verne,thriller,,1867,,,204,,,openlibrary,OL1099513W,https://openlibrary.org/works/OL1099513W,https://covers.openlibrary.org/b/id/5890987-M.jpg,20.400000000000002
80,Lord of the Flies,William Golding,thriller,,1954,,,191,,,openlibrary,OL455327W,https://openlibrary.org/works/OL455327W,https://covers.openlibrary.org/b/id/8684447-M.jpg,19.1
81,The Beetle,"Richard Marsh, Satomi Sugita",thriller,,1897,,,189,,,openlibrary,OL827326W,https://openlibrary.org/works/OL827326W,https://covers.openlibrary.org/b/id/2748335-M.jpg,18.900000000000002
82,A Room with a View,E. M. Forster,romance,,1905,,,185,,,openlibrary,OL88813W,https://openlibrary.org/works/OL88813W,https://covers.openlibrary.org/b/id/1748132-M.jpg,18.5
